surface_id,surface_name,resolution_id,resolution,required_checks,unity_evidence_status,screenshot_path,console_note
main_menu_character_select,Main Menu / Character Select,compact_4_3,1024x768,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
main_menu_character_select,Main Menu / Character Select,baseline_16_9,1280x720,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
main_menu_character_select,Main Menu / Character Select,desktop_16_9,1600x900,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
main_menu_character_select,Main Menu / Character Select,wide_1080p,1920x1080,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
route_map,10 Layer Route Map,compact_4_3,1024x768,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
route_map,10 Layer Route Map,baseline_16_9,1280x720,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
route_map,10 Layer Route Map,desktop_16_9,1600x900,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
route_map,10 Layer Route Map,wide_1080p,1920x1080,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
battle_hud,Bedroom Guard Battle HUD,compact_4_3,1024x768,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
battle_hud,Bedroom Guard Battle HUD,baseline_16_9,1280x720,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
battle_hud,Bedroom Guard Battle HUD,desktop_16_9,1600x900,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
battle_hud,Bedroom Guard Battle HUD,wide_1080p,1920x1080,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
skill_enemy_hud,Skill / Enemy HUD,compact_4_3,1024x768,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
skill_enemy_hud,Skill / Enemy HUD,baseline_16_9,1280x720,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
skill_enemy_hud,Skill / Enemy HUD,desktop_16_9,1600x900,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
skill_enemy_hud,Skill / Enemy HUD,wide_1080p,1920x1080,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
result_pause_settings,Result / Pause Settings,compact_4_3,1024x768,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
result_pause_settings,Result / Pause Settings,baseline_16_9,1280x720,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
result_pause_settings,Result / Pause Settings,desktop_16_9,1600x900,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
result_pause_settings,Result / Pause Settings,wide_1080p,1920x1080,"Chinese-facing text, except necessary HP/shortcut/technical tokens; No panel overlap or crowding; No clipped long text; Long panels remain scrollable; Narrow-width controls stack cleanly; HUD labels remain readable; Console has no errors",pending_unity_mcp_or_editor_capture,,
