source_id,semantic_id,file,status,variant_group,qa_note
cat_room_prop_01,cat_room_sleep_bed_platform,sprites/thecat_map_cat_room_elements_batch91_prop_01_candidate_v001.png,accepted_for_semantic_candidate,bed,Visual PASS_WITH_P2 and QA PASS_WITH_P1; keep pending Unity scale/import review.
cat_room_prop_02,cat_room_litter_station,sprites/thecat_map_cat_room_elements_batch91_prop_02_candidate_v001.png,accepted_for_semantic_candidate,litter,Visual PASS_WITH_P2 and QA PASS_WITH_P1; keep pending Unity scale/import review.
cat_room_prop_03,cat_room_feeder_water_station,sprites/thecat_map_cat_room_elements_batch91_prop_03_candidate_v001.png,accepted_for_semantic_candidate,feeder,Visual PASS_WITH_P2 and QA PASS_WITH_P1; keep pending Unity scale/import review.
cat_room_prop_04,cat_room_dream_entrance_portal_v001,sprites/thecat_map_cat_room_elements_batch91_prop_04_candidate_v001.png,rejected_replaced,portal,Visible dark scratch/dash artifact inside lower portal opening; replaced by v004 hard-alpha candidate.
cat_room_prop_05,cat_room_cat_face_rug,sprites/thecat_map_cat_room_elements_batch91_prop_05_candidate_v001.png,accepted_for_semantic_candidate,decor,Visual PASS_WITH_P2 and QA PASS_WITH_P1; keep pending Unity scale/import review.
cat_room_prop_06,cat_room_interaction_ring_variant_a,sprites/thecat_map_cat_room_elements_batch91_prop_06_candidate_v001.png,accepted_with_p2_watch,interaction_ring,Near-duplicate neon-yellow affordance marker; group and check color dominance in Unity.
cat_room_prop_07,cat_room_interaction_ring_variant_b,sprites/thecat_map_cat_room_elements_batch91_prop_07_candidate_v001.png,accepted_with_p2_watch,interaction_ring,Near-duplicate neon-yellow affordance marker; group and check color dominance in Unity.
cat_room_prop_08,cat_room_interaction_ring_variant_c,sprites/thecat_map_cat_room_elements_batch91_prop_08_candidate_v001.png,accepted_with_p2_watch,interaction_ring,Near-duplicate neon-yellow affordance marker; group and check color dominance in Unity.
cat_room_prop_09,cat_room_interaction_ring_variant_d,sprites/thecat_map_cat_room_elements_batch91_prop_09_candidate_v001.png,accepted_with_p2_watch,interaction_ring,Near-duplicate neon-yellow affordance marker; group and check color dominance in Unity.
cat_room_prop_10,cat_room_heart_cushion,sprites/thecat_map_cat_room_elements_batch91_prop_10_candidate_v001.png,accepted_for_semantic_candidate,decor,Visual PASS_WITH_P2 and QA PASS_WITH_P1; keep pending Unity scale/import review.
cat_room_prop_11,cat_room_teal_star_cushion,sprites/thecat_map_cat_room_elements_batch91_prop_11_candidate_v001.png,accepted_for_semantic_candidate,decor,Visual PASS_WITH_P2 and QA PASS_WITH_P1; keep pending Unity scale/import review.
cat_room_prop_12,cat_room_yarn_cushion,sprites/thecat_map_cat_room_elements_batch91_prop_12_candidate_v001.png,accepted_for_semantic_candidate,decor,Visual PASS_WITH_P2 and QA PASS_WITH_P1; keep pending Unity scale/import review.
cat_room_portal_v002,cat_room_dream_entrance_portal_v002,sprites/thecat_map_cat_room_dream_entrance_portal_1037x1151_candidate_v002.png,pending_review,portal,Replacement generated with built-in imagegen after prop_04 P1; needs independent review before acceptance.
cat_room_portal_v002_clean_attempt,cat_room_dream_entrance_portal_v002_clean_attempt,sprites/thecat_map_cat_room_dream_entrance_portal_1037x1151_clean_candidate_v002.png,rejected_cleanup,portal,Local cleanup over-corrected lower glow area; do not use.
cat_room_portal_v003,cat_room_dream_entrance_portal_v003,sprites/thecat_map_cat_room_dream_entrance_portal_1153x1235_candidate_v003.png,rejected_chroma_key,portal,Green chroma-key conflicted with teal portal mist and produced dark alpha holes; do not use.
cat_room_portal_v004,cat_room_dream_entrance_portal_v004,sprites/thecat_map_cat_room_dream_entrance_portal_1178x1269_candidate_v004.png,accepted_source_candidate,portal,Magenta chroma-key replacement generated to avoid teal mist removal; visual PASS_WITH_P2 and production QA PASS_WITH_P1.
cat_room_portal_v004_import_test,cat_room_dream_entrance_portal_v004_import_test,sprites/thecat_map_cat_room_dream_entrance_portal_1192x1313_hard_alpha_candidate_v004.png,accepted_semantic_import_test,portal,Hard-alpha version selected for semantic pack; final semantic pack review PASS_WITH_P2; Unity scale/pivot review remains pending.
