asset_id,semantic_name,review_decision,unity_gate,agent_notes
thecat_ui_cat_room_hover_soft_halo_frame_batch92,hover_soft_halo_frame,candidate_keep,candidate_import_first_wave,visual keep; clean hover semantic
thecat_ui_cat_room_ready_available_ring_batch92,ready_available_ring,candidate_conditional,scale_brightness_and_ring_semantics_watch,avoid confusion with selected/target rings
thecat_ui_cat_room_selected_active_ring_batch92,selected_active_ring,candidate_keep,candidate_import_first_wave,strong selected semantic
thecat_ui_cat_room_blocked_range_denied_frame_batch92,blocked_range_denied_frame,candidate_keep,candidate_import_first_wave,blocked semantic clear; watch error-popup feel
thecat_ui_cat_room_restore_sleep_pulse_marker_batch92,restore_sleep_pulse_marker,candidate_conditional,small_scale_only_or_light_rework,grey/stone feel; avoid large overlay
thecat_ui_cat_room_hunger_feeder_ready_marker_batch92,hunger_feeder_ready_marker,candidate_conditional,badge_or_card_scale_only,solid badge; not full-room overlay
thecat_ui_cat_room_litter_urgent_marker_batch92,litter_urgent_marker,candidate_conditional,badge_or_card_scale_only,solid badge; confirm symbol semantics
thecat_ui_cat_room_dream_entry_confirm_button_frame_batch92,dream_entry_confirm_button_frame,candidate_keep,candidate_import_first_wave,textless button frame; leaves Unity text area
thecat_ui_cat_room_attention_sparkle_marker_batch92,attention_sparkle_marker,candidate_conditional,short_vfx_or_small_marker_only,bright VFX; avoid persistent overlay
thecat_ui_cat_room_cooldown_overlay_frame_batch92,cooldown_overlay_frame,reject_rework,do_not_import_v001,
thecat_ui_cat_room_home_room_locator_badge_batch92,home_room_locator_badge,candidate_reclassify,map_marker_candidate_not_interaction_state,visual says locator/map badge
thecat_ui_cat_room_interaction_target_reticle_batch92,interaction_target_reticle,candidate_conditional,ring_semantics_watch,clear reticle; avoid confusion with ready/selected rings
thecat_ui_cat_room_cooldown_overlay_frame_batch92_v002,cooldown_overlay_frame_v002,superseded_backup,do_not_import_v002_unless_v003_fails,lighter than v001 but had inner dark scuffs
thecat_ui_cat_room_cooldown_overlay_frame_batch92_v003,cooldown_overlay_frame_v003,candidate_conditional,candidate_import_first_wave_scale_test,P1 fix; center visible coverage 0.47%; outer ring only
